Police_Station,Date_Time,Date,Time,Location,Loc_Id,ACT-379-380_454_457,ACT-294_506,Latitude,Longitude
Civil_Line,11.07.2019 21:00,11-07-19,21:00,Street,5,1,0,21.235136,81.650983
Civil_Line,06.07.2019 20:45,06-07-19,20:45,Street,5,1,0,21.235136,81.650983
Civil_Line,15.07.2019 02:30,15-07-19,2:30,Street,5,1,0,21.241273,81.656137
Civil_Line,22.07.2019 15:00,22-07-19,15:00,Street,5,1,0,21.249144,81.654135
Civil_Line,25.07.2019 16:00,25-07-19,16:00,House,2,1,0,21.231174,81.653293
Civil_Line,30.07.2019 02:30,30-07-19,2:30,House,2,1,0,21.236006,81.654508
Civil_Line,04.08.2019 22:00,04-08-19,22:00,Street,5,1,0,21.242637,81.652628
Civil_Line,05.08.2019 17:00,05-08-19,17:00,Street,5,1,0,21.24528,81.643263
Civil_Line,06.08.2019 19:00,06-08-19,19:00,Street,5,1,0,21.249531,81.665915
Civil_Line,07.08.2019 02:15,07-08-19,2:15,House,2,1,0,21.246667,81.66649
Civil_Line,17.08.2019 13:30,17-08-19,13:30,House,2,1,0,21.24853,81.668441
Civil_Line,21.08.2019 19:00,21-08-19,19:00,Street,5,1,0,21.249626,81.649657
Civil_Line,23.08.2019 03:00,23-08-19,3:00,House,2,1,0,21.239344,81.654856
Civil_Line,23.08.2019 17:00,23-08-19,17:00,Street,5,1,0,21.237812,81.645782
Civil_Line,23.08.2019 19:15,23-08-19,19:15,Street,5,1,0,21.234709,81.654693
Civil_Line,28.08.2019 13:00,28-08-19,13:00,Street,5,1,0,21.246827,81.641908
Civil_Line,05.09.2019 16:00,05-09-19,16:00,Street,5,1,0,21.245161,81.642146
Civil_Line,07.09.2019 03:00,07-09-19,3:00,House,2,1,0,21.228294,81.656357
Civil_Line,05.09.2019 02:00,05-09-19,2:00,House,2,1,0,21.244087,81.652249
Civil_Line,06.09.2019 08:00,06-09-19,8:00,Street,5,1,0,21.243771,81.646458
Civil_Line,06.09.2019 23:00,06-09-19,23:00,Street,5,1,0,21.234268,81.64926
Civil_Line,15.09.2019 06:00,15-09-19,6:00,Street,5,1,0,21.248423,81.653403
Civil_Line,15.09.2019 03:30,15-09-19,3:30,House,2,1,0,21.248764,81.652765
Civil_Line,18.09.2019 13:30,18-09-19,13:30,Street,5,1,0,21.24108,81.652239
Civil_Line,01.09.2019 08:15,01-09-19,8:15,House,2,1,0,21.23011,81.65637
Civil_Line,26.09.2019 03:00,26-09-19,3:00,Street,5,1,0,21.249155,81.64618
Civil_Line,27.09.2019 10:00,27-09-19,10:00,Street,5,1,0,21.236989,81.648895
Civil_Line,01.10.2019 02:00,01-10-19,2:00,Street,5,1,0,21.246804,81.659469
Civil_Line,02.10.2019 07:15,02-10-19,7:15,Street,5,1,0,21.242549,81.65213
Civil_Line,18.08.2019 01:30,18-08-19,1:30,Street,5,1,0,21.252147,81.648314
Civil_Line,24.08.2019 03:00,24-08-19,3:00,Street,5,1,0,21.258145,81.654727
Civil_Line,10.10.2019 02:00,10-10-19,2:00,House,2,1,0,21.25327,81.65282
Civil_Line,13.10.2019 18:25,13-10-19,18:25,Street,5,1,0,21.243892,81.644733
Civil_Line,15.10.2019 02:00,15-10-19,2:00,House,2,1,0,21.246164,81.651188
